ExCuSe,Dummy
2.75,182.75
42.0,182.0
101.25,181.25
50.5,180.5
49.75,179.75
49.0,179.0
97.94,177.94
96.87,176.87
55.81,175.81
94.75,174.75
53.69,173.69
92.63,172.63
91.56,171.56
20.5,170.5
88.25,168.25
16.0,166.0
13.75,163.75
21.5,161.5
79.25,159.25
7.0,157.0
14.75,154.75
2.5,152.5
1.5,151.5
0.5,150.5
0.5,149.5
18.5,148.5
7.5,147.5
16.5,146.5
15.5,145.5
14.5,144.5
3.680000000000007,143.68
2.8700000000000045,142.87
2.069999999999993,142.07
8.75,141.25
9.569999999999993,140.43
10.370000000000005,139.63
1.1800000000000068,138.82
12.0,138.0
13.310000000000002,136.69
14.629999999999995,135.37
15.939999999999998,134.06
7.25,132.75
1.4399999999999977,131.44
10.129999999999995,130.13
8.810000000000002,128.81
42.5,127.5
6.689999999999998,126.69
4.1299999999999955,125.87
44.94,125.06
5.75,124.25
6.560000000000002,123.44
27.370000000000005,122.63
1.8100000000000023,121.81
1.0,121.0
9.680000000000007,120.32
10.370000000000005,119.63
51.06999999999999,118.93
41.75,118.25
22.430000000000007,117.57
23.129999999999995,116.87
43.81999999999999,116.18
44.5,115.5
44.75,115.25
45.0,115.0
45.25,114.75
25.5,114.5
55.75,114.25
26.0,114.0
46.25,113.75
56.5,113.5
7.3700000000000045,112.63
48.24000000000001,111.75999999999999
59.129999999999995,110.87
40.0,110.0
50.870000000000005,109.13
41.75999999999999,108.24000000000001
52.629999999999995,107.37
53.5,106.5
54.379999999999995,105.62
55.25999999999999,104.74000000000001
46.120000000000005,103.88
57.0,103.0
47.879999999999995,102.12
48.74000000000001,101.25999999999999
49.620000000000005,100.38
50.5,99.5
51.31,98.69
52.129999999999995,97.87
52.94,97.06
53.75,96.25
54.56,95.44
55.370000000000005,94.63
56.19,93.81
77.0,93.0
67.68,92.32
68.37,91.63
59.06999999999999,90.93
59.75,90.25
60.43000000000001,89.57
81.13,88.87
81.82,88.18
62.5,87.5
73.12,86.88
63.75,86.25
84.38,85.62
85.0,85.0
85.62,84.38
86.25,83.75
86.88,83.12
87.5,82.5
88.62,81.38
89.75,80.25
90.88,79.12
92.0,78.0
93.12,76.88
74.25,75.75
65.38,74.62
86.5,73.5
67.06,72.94
97.63,72.37
58.19,71.81
48.75,71.25
49.31,70.69
49.870000000000005,70.13
60.44,69.56
61.0,69.0
62.5,67.5
84.0,66.0
75.5,64.5
87.0,63.0
18.5,61.5
20.0,60.0
21.5,58.5
23.0,57.0
23.689999999999998,56.31
24.379999999999995,55.620000000000005
95.06,54.94
95.75,54.25
26.439999999999998,53.56
97.12,52.879999999999995
27.810000000000002,52.19
28.5,51.5
28.0,52.0
27.5,52.5
27.0,53.0
26.5,53.5
26.0,54.0
25.5,54.5
25.0,55.0
24.5,55.5
23.310000000000002,56.69
22.129999999999995,57.870000000000005
20.939999999999998,59.06
19.75,60.25
18.560000000000002,61.44
17.370000000000005,62.629999999999995
16.189999999999998,63.81
15.0,65.0
13.189999999999998,66.81
11.370000000000005,68.63
9.560000000000002,70.44
7.75,72.25
245.94,74.06
4.1299999999999955,75.87
2.3100000000000023,77.69
0.5,79.5
0.4399999999999977,79.56
0.37999999999999545,79.62
0.3100000000000023,79.69
0.25,79.75
0.18999999999999773,79.81
0.12000000000000455,79.88
0.060000000000002274,79.94
0.0,80.0
2.0600000000000023,82.06
4.1200000000000045,84.12
6.189999999999998,86.19
8.25,88.25
10.310000000000002,90.31
12.379999999999995,92.38
25.560000000000002,94.44
23.5,96.5
22.319999999999993,97.68
21.129999999999995,98.87
19.930000000000007,100.07
18.75,101.25
17.569999999999993,102.43
16.370000000000005,103.63
15.180000000000007,104.82
14.0,106.0
13.560000000000002,106.44
13.129999999999995,106.87
12.689999999999998,107.31
12.25,107.75
11.810000000000002,108.19
11.370000000000005,108.63
10.939999999999998,109.06
10.5,109.5
30.129999999999995,110.13
30.75999999999999,110.75999999999999
18.629999999999995,111.37
32.0,112.0
32.629999999999995,112.63
33.24000000000001,113.24000000000001
33.870000000000005,113.87
34.5,114.5
35.44,115.44
36.370000000000005,116.37
37.31,117.31
201.75,118.25
39.19,119.19
40.129999999999995,120.13
41.06,121.06
42.0,122.0
42.69,122.69
43.379999999999995,123.38
85.94,124.06
44.75,124.75
174.56,125.44
46.120000000000005,126.12
213.19,126.81
47.5,127.5
48.129999999999995,128.13
181.25,128.75
49.370000000000005,129.37
50.0,130.0
50.629999999999995,130.63
51.25,131.25
